frp_true,frp_pred
53733.7,0.6659976
21090.3,0.6067292
46518.6,0.6583637
8654.1,0.5870768
51486.1,0.7152002
21508.3,0.65480304
10132.6,0.48738563
48675.1,0.67730224
28818.4,0.6064545
1318.4,0.32287332
6547.8,0.45712093
53780.4,0.72205293
10901.3,0.5523409
25933.2,0.6315784
20133.4,0.5779966
3728.9,0.42206487
80436.6,0.78103137
15571.8,0.5458298
7570.7,0.4700442
7051.2,0.48866847
79916.9,0.7522676
33632.1,0.5677515
13773.5,0.5843973
53087.5,0.6533735
79733.6,0.7061386
46542.2,0.6258357
61930.5,0.6595849
31689.8,0.62433326
28935.2,0.60321695
186433.4,0.81065834
28263.7,0.60339373
58173.6,0.719555
7570.5,0.5177696
52266.5,0.6816257
11170.4,0.5063623
20442.8,0.5758631
69901.2,0.68975556
21753.9,0.5778904
8350.2,0.49154326
4031.4,0.42340377
42594.0,0.64472115
46037.6,0.68694615
14191.9,0.5617219
129974.2,0.76687944
176299.6,0.83839977
22379.1,0.6223314
103307.5,0.75598824
140683.8,0.72297287
12470.3,0.59497464
15214.6,0.5871097
15691.2,0.56365556
8966.8,0.56516373
27008.1,0.6403731
2910.1,0.36624885
73104.2,0.6402308
6876.3,0.4812945
41156.6,0.6242481
23311.1,0.65857494
98746.5,0.7313919
14526.0,0.5190358
20294.8,0.55705106
27096.4,0.6539382
43244.1,0.65741587
28066.6,0.58096766
10481.6,0.534034
12231.1,0.46176806
6443.4,0.46941975
46695.3,0.69142723
33291.3,0.65930533
1012.2,0.28373253
39152.6,0.62622714
46530.1,0.5980216
12201.7,0.47906914
59852.2,0.6685569
172537.3,0.7764281
1547.0,0.33446258
7246.5,0.57741594
14221.8,0.562648
38825.3,0.6250534
27785.8,0.6633395
22171.6,0.5762477
26848.9,0.58007085
33949.4,0.66536367
21264.7,0.56739974
134122.2,0.8114301
6658.4,0.45399776
3373.2,0.38992822
17571.1,0.62778986
31682.7,0.67755055
15861.6,0.5926963
15959.6,0.56317776
12046.8,0.61497605
10949.5,0.4951731
26120.9,0.6269402
40193.8,0.65291846
40799.8,0.64988375
20101.5,0.6029806
60324.7,0.6695169
47788.4,0.69127965
4923.4,0.5134679
14958.8,0.51169693
52177.7,0.671746
15053.3,0.57569087
2119.2,0.38206702
16726.4,0.56055605
16621.2,0.566615
11728.3,0.5807539
13579.8,0.56322706
10969.1,0.5352683
8473.8,0.58672607
26300.9,0.58642197
431879.6,0.8167597
2939.3,0.39760023
2435.7,0.38180837
10265.0,0.58394355
208043.3,0.74394786
34352.4,0.5973456
33406.5,0.65162194
45800.2,0.67983615
33892.5,0.5742686
12090.3,0.55030155
27948.8,0.6590785
19450.4,0.60292685
10264.3,0.5432472
2529.6,0.37604314
3323.7,0.4027837
23425.9,0.61520046
6448.9,0.4355848
30427.1,0.60653496
4816.7,0.43910167
2484.7,0.37870085
177099.3,0.8477373
164257.2,0.78345144
25164.8,0.66558754
6397.4,0.4748688
10872.1,0.5343758
54611.9,0.6871803
394735.2,0.8288535
162921.9,0.8278295
26355.5,0.6626897
73691.4,0.71795404
14532.1,0.56147945
29292.7,0.60884804
7704.8,0.53840744
24113.7,0.5778396
62526.4,0.6884539
10178.5,0.4799266
3071.3,0.39021763
7763.1,0.48569432
8022.2,0.45945132
68723.5,0.69644547
81242.9,0.76014364
12479.7,0.56619924
16389.1,0.598365
6292.0,0.491725
22709.2,0.63832426
23848.5,0.6349126
17386.3,0.5693234
3243.9,0.41387984
51263.2,0.65103805
6148.8,0.46261773
193773.0,0.85703194
11015.5,0.547835
84067.3,0.68766356
13058.3,0.5454618
56318.1,0.6645428
1579.1,0.3122961
4016.8,0.48569432
54093.2,0.71453595
18583.0,0.5905304
5054.4,0.46072373
37479.4,0.68801284
13809.4,0.53852
42750.4,0.7013078
19750.9,0.61633337
25051.6,0.6156144
86755.5,0.7601962
34548.8,0.7025089
68928.1,0.6961783
24215.5,0.60758555
14671.5,0.5609747
12561.1,0.5441588
21138.2,0.58635473
31847.3,0.6169338
53245.4,0.6301946
169841.6,0.7588588
69672.5,0.7411591
22658.6,0.5736504
473142.2,0.86240196
162794.4,0.8621466
70719.9,0.6909541
48997.5,0.6755818
57705.9,0.70234835
24533.7,0.579803
50239.5,0.7121867
8996.3,0.5521462
29159.0,0.61656237
27219.0,0.64036083
27323.3,0.601893
3315.1,0.56501186
8778.7,0.5099884
162.7,0.09632005
103547.4,0.803583
10165.5,0.5029955
57938.5,0.7229793
23739.5,0.6353065
51730.0,0.5392301
1834.8,0.4108843
12358.2,0.5658556
13484.2,0.5491967
27799.1,0.634966
20848.4,0.5856879
11273.9,0.5436517
17664.4,0.54789305
54444.7,0.6815498
9156.0,0.49598524
48874.6,0.7271677
59256.1,0.6944933
59484.2,0.6572223
16941.7,0.5207411
43312.2,0.6600549
32544.1,0.6541482
7898.3,0.45457685
14014.3,0.57951486
33718.2,0.61575484
5911.0,0.47577822
668.0,0.25445253
77527.5,0.66836786
69122.9,0.7300502
78590.9,0.74116385
32377.7,0.6342622
19331.3,0.57370985
110760.3,0.7763593
100712.3,0.70957863
55792.4,0.61429083
42229.3,0.64114344
52874.4,0.7005987
27547.6,0.6051291
143721.9,0.7965244
19962.5,0.586486
52982.7,0.69546103
15074.1,0.5782349
26531.4,0.61546934
25535.9,0.6064384
18431.1,0.59603953
7537.2,0.4623132
48823.0,0.6245449
15599.7,0.5636356
1422.3,0.33884436
140410.0,0.796837
53616.7,0.7074243
169951.7,0.74793065
11712.2,0.5500243
11405.2,0.53266716
43924.0,0.6739454
61777.8,0.60942936
110911.3,0.7689587
3600.7,0.3948098
4104.5,0.48561683
6863.2,0.47915056
58949.3,0.6808355
46228.6,0.69346416
13047.1,0.6093978
7571.4,0.48124513
2297.7,0.3420683
34039.7,0.62533
81168.7,0.7104882
4378.7,0.45766124
218832.6,0.8092139
24940.7,0.59912324
3941.9,0.4403244
12799.7,0.51591825
44640.7,0.6209169
6982.3,0.46997473
38166.6,0.67370415
29612.5,0.6012341
17842.6,0.577065
27829.9,0.6517621
6173.9,0.43561962
12650.6,0.54088557
7086.6,0.4592974
53276.6,0.69988847
3967.9,0.40754747
79095.4,0.7285539
174341.5,0.76208186
345693.6,0.8669876
22482.0,0.63435936
11517.9,0.5886538
51003.5,0.68402433
3115.9,0.4315097
18899.2,0.5317167
6026.7,0.48574623
6667.0,0.5522177
87852.5,0.72170794
32590.0,0.67879224
21409.9,0.62691355
17666.8,0.5700464
17487.7,0.6108527
10987.4,0.58187354
110301.1,0.7490823
28617.5,0.6246635
5002.0,0.39595944
119479.8,0.8100188
39745.8,0.63228226
52458.9,0.6501936
55454.7,0.6504982
23224.1,0.5638709
10487.3,0.51124454
91028.9,0.6938484
25719.6,0.585081
5991.0,0.44028494
